markerId,name,url,type,address,city,state,image,lat,lng,A,B,C
0,Ambonnay Champagne Bar,http://www.ambonnaybar.com/,Bar,107 SE Washington St,Portland,OR,/images/ambonnay.jpg,45.518814,-122.664587,y , +, 
1,"B Side Tavern

     ",https://www.facebook.com/pages/B-Side-Tavern/285188399929,Bar,632 E Burnside St,Portland,OR,/images/b-side-tavern.jpg,45.522739,-122.658929,A y, ,P
2,"Bunk Bar

",http://www.bunksandwiches.com/bunkbar/,Bar,1028 Southeast Water Avenue #130,Portland,OR,/images/bunk.jpg,45.515332,-122.665569,A D O ,,
3,Burnside Brewing Company,http://www.burnsidebrewco.com/,Brewery,701 East Burnside Street,Portland,OR,/images/burnside-brewing.jpg,45.523395,-122.658372,y, +,
4,Cascade Brewing ,http://www.cascadebrewingbarrelhouse.com/,Brewery,939 Southeast Belmont Street,Portland,OR,/images/cascade-barrel.jpg,45.516667,-122.656041,p, +,
5,"Dig A Pony
",http://digaponyportland.com/,Bar,736 SE Grand Ave,Portland,OR,/images/dig-a-pony.jpg,45.517413,-122.660375,A l,  ,
6,"Doug Fir
",http://www.dougfirlounge.com/,Lounge,830 E Burnside St,Portland,OR,/images/doug-fir.jpg,45.522641,-122.656824,A l p ,,
7,Duff's Garage Bar & Grill,http://www.duffsgarage.com/,Sports,1635 Southeast 7th Avenue,Portland,OR,/images/duffs.jpg,45.511197,-122.658737, , ,
8,East Bank Saloon,http://www.eastbanksaloon.com/,Bar,727 SE Grand Ave,Portland,OR,/images/eastbank-saloon.jpg,45.517516,-122.661045, ,,
9,"East End
",http://www.eastendportland.com/,Bar,203 Southeast Grand Avenue,Portland,OR,/images/east-end.jpg,45.521391,-122.660949, ,,
10,"Grand Cafe
",http://www.grandcafepdx.com/,Restaurant,832 SE Grand Ave,Portland,OR,/images/grand-cafe.jpg,45.51665,-122.660404, ,,
11,Green Dragon Bistro & Brew,http://www.pdxgreendragon.com/,Brewery/Bar,928 Southeast 9th Avenue,Portland,OR,/images/green-dragon.jpg,45.515956,-122.65644,A y p, +,
12,Hair of the Dog Brewing,http://www.hairofthedog.com/,Brewery,61 Southeast Yamhill Street,Portland,OR,/images/hair-of-the-dog.jpg,45.515992,-122.665549, , +,
13,Holocene,http://www.holocene.org/,Dance,1001 Southeast Morrison Street,Portland,OR,/images/holocene.jpg,45.517574,-122.655328, l,,
14,J & M Cafe,http://www.jandmcafepdx.com/,Bar,537 Southeast Ash Street,Portland,OR,/images/jm-cafe.jpg,45.521815,-122.659916, ,,l
15,C'est Si Bon ,http://www.cestsibonpdx.com/,Wine,22 NE 7th Ave,Portland,OR,/images/cest-si-bon.jpg,45.523376,-122.658483,A y,,
16,La Bistro Montage,http://www.montageportland.com/,Restaurant,301 SE Morrison St,Portland,OR,/images/bistro-montage.jpg,45.517444,-122.662623,D,,
17,Morrison Hotel,http://www.mohobar.com/,Bar,719 Southeast Morrison Street,Portland,OR,/images/morrison.jpg,45.517393,-122.658065,A y p,,
18,My Father's Place,http://www.myfathersplacepdx.com/,Dive,523 SE Grand Ave,Portland,OR,/images/my-fathers-place.jpg,45.518818,-122.660922,A y,,
19,New Deal Tasting Room,http://www.newdealdistillery.com/the-new-deal-tasting-room/,Bar,900 Southeast Salmon Street,Portland,OR,/images/new-deal.jpg,45.51417,-122.656472,A y,,
20,Nicholas Restaurant,http://nicholasrestaurant.com/,Restaurant,318 SE Grand Ave,Portland,OR,/images/nicholas-restaurant.jpg,45.520472,-122.66041,D,,
21,Pacific Pie Co,http://www.pacificpie.com/,Restaurant,1520 SE 7th Ave,Portland,OR,/images/pacific-pie-co.jpg,45.511831,-122.658399,A y D,,l
22,Produce Row Cafe,http://www.producerowcafe.com/,Craft Beers,204 Southeast Oak Street,Portland,OR,/images/produce-row-cafe.jpg,45.519941,-122.663541,A y, +,P
23,Rontoms,http://www.rontoms.net/,Bar,600 East Burnside Street,Portland,OR,/images/rontoms.jpg,45.522535,-122.659492,A y,,P C
24,Rum Club,http://www.rumclubpdx.com/,Bar,720 SE Sandy Blvd,Portland,OR,/images/rum-club.jpg,45.518985,-122.657896,A y,,
25,Sassy's Bar & Grill,http://www.sassysbar.com/,Dive/Strip Club,927 Southeast Morrison Bridge,Portland,OR,/images/sassys.jpg,45.517337,-122.656052,A y l,,
26,Fausse Piste,http://www.faussepiste.com/index.html,Wine Bar,537 SE Ash St #102,Portland,OR,/images/fausse-piste.jpg,45.521815,-122.659916,A y,,
27,Sizzle Pie,http://www.sizzlepie.com/,Bar,624 East Burnside Street,Portland,OR,/images/sizzle-pie.jpg,45.522745,-122.65907,D,,
28,Slow Bar,http://slowbar.net/,Bar,533 Southeast Grand Avenue,Portland,OR,/images/slow-bar.jpg,45.518772,-122.661048,A y ,,
29,Speakeasy Tavern,http://gils-speakeasy.com/,Bar,609 Southeast Taylor Street,Portland,OR,/images/speakeasy-tavern.jpg,45.515324,-122.659385,A y,,
30,Spirit of 77,http://www.spiritof77bar.com/,Sports,500 NE Martin Luther King Jr Blvd,Portland,OR,/images/spirit-of-77.jpg,45.526734,-122.661374,A y, ,
31,Star Bar,http://star-bar-rocks.com/,Lounge,639 Southeast Morrison Street,Portland,OR,/images/star-bar.jpg,45.517438,-122.658919,A y l p, ,
32,The Lovecraft Bar,http://thelovecraftbar.com/,Theme Dance Club,421 SE Grand Ave,Portland,OR,/images/lovecraft-bar.jpg,45.519961,-122.660948,A y,,
33,The Side Door,http://thesidedoorpdx.com/,Restaurant/Deli,425 Southeast Washington Street,Portland,OR,/images/side-door.jpg,45.518812,-122.661173,r D,,l
34,The Wurst,http://thewurstpdx.com/#,Bar,724 E Burnside St,Portland,OR,/images/the-wurst.jpg,45.522752,-122.658001,A y,,
35,Upright Brewing,http://www.uprightbrewing.com/,Brewery,240 North Broadway #2,Portland,OR,/images/upright-brewing.jpg,45.534678,-122.668154, , +,
36,Vie de Boheme,http://www.viedebohemepdx.com/,Bar,1530 Southeast 7th Avenue,Portland,OR,/images/vie-de-boheme.jpg,45.511639,-122.658401,A y,,
